"","row_id","id","sex","species","Status","date","time","date_time","temp","x","y","Habitat_type"
"80",80,"Akward","M","spotted","Valid",2018-05-08,"17:00:0",2018-05-08 17:00:00,36.5,-47.9108250621357,776.976510626264,"Cattail"
"81",81,"Akward","M","spotted","Valid",2018-05-08,"14:00:0",2018-05-08 14:00:00,16.5,-45.4372250621091,776.950510625727,"Meadow marsh"
"82",82,"Akward","M","spotted","Valid",2018-05-08,"15:00:1",2018-05-08 15:00:01,31.5,-39.6429250621004,779.112510626204,"Cattail"
"83",83,"Akward","M","spotted","GPS",2018-05-08,"17:34:0",2018-05-08 17:34:00,NA,-38.761725062097,784.656510625966,"Meadow marsh"
"84",84,"Akward","M","spotted","GPS",2018-05-08,"18:34:0",2018-05-08 18:34:00,NA,-38.761725062097,784.656510625966,"Meadow marsh"
"85",85,"Akward","M","spotted","Valid",2018-05-09,"03:00:0",2018-05-09 03:00:00,13,-45.3693250621436,783.613510626368,"Phragmites"
"86",86,"Akward","M","spotted","Valid",2018-05-09,"06:00:0",2018-05-09 06:00:00,12,-37.0787250621361,787.970510626212,"Meadow marsh"
"87",87,"Akward","M","spotted","Valid",2018-05-09,"15:00:0",2018-05-09 15:00:00,30.5,-41.3146250621066,776.908510626294,"Cattail"
"88",88,"Akward","M","spotted","Valid",2018-05-09,"01:00:0",2018-05-09 01:00:00,15.5,-47.8542250621249,782.527510626242,"Cattail"
"89",89,"Akward","M","spotted","Valid",2018-05-09,"10:00:0",2018-05-09 10:00:00,11.5,-42.0825250621419,782.469510626048,"Meadow marsh"
"90",90,"Akward","M","spotted","Valid",2018-05-09,"16:00:0",2018-05-09 16:00:00,29.5,-42.0712250621291,783.579510626383,"Meadow marsh"
"91",91,"Akward","M","spotted","Valid",2018-05-09,"04:00:0",2018-05-09 04:00:00,12.5,-38.761725062097,784.656510625966,"Meadow marsh"
"92",92,"Akward","M","spotted","Valid",2018-05-09,"08:00:0",2018-05-09 08:00:00,11.5,-38.7391250621295,786.876510626636,"Meadow marsh"
"93",93,"Akward","M","spotted","Valid",2018-05-09,"02:00:0",2018-05-09 02:00:00,14,-37.124025062134,783.529510626569,"Meadow marsh"
"94",94,"Akward","M","spotted","Valid",2018-05-09,"07:00:0",2018-05-09 07:00:00,11.5,-35.4523250621278,785.732510626316,"Meadow marsh"
"95",95,"Akward","M","spotted","Valid",2018-05-09,"09:00:0",2018-05-09 09:00:00,11.5,-35.4184250621474,789.064510625787,"Meadow marsh"
"96",96,"Akward","M","spotted","Valid",2018-05-09,"05:00:0",2018-05-09 05:00:00,12,-33.7127250620979,794.598510625772,"Shrub"
"97",97,"Akward","M","spotted","Valid",2018-05-09,"21:00:0",2018-05-09 21:00:00,33,-29.5448250620975,798.998510626145,"Meadow marsh"
"98",98,"Akward","M","spotted","Valid",2018-05-09,"22:00:0",2018-05-09 22:00:00,24.5,-28.6410250621266,806.762510626577,"Phragmites"
"99",99,"Akward","M","spotted","Valid",2018-05-09,"20:00:0",2018-05-09 20:00:00,34,-23.7392250621342,802.270510626025,"Meadow marsh"
"100",100,"Akward","M","spotted","Valid",2018-05-10,"17:00:0",2018-05-10 17:00:00,30,-47.0749250621302,778.078510626219,"Cattail"
"101",101,"Akward","M","spotted","Valid",2018-05-10,"18:00:0",2018-05-10 18:00:00,26.5,-39.575025062135,785.77451062575,"Meadow marsh"
"102",102,"Akward","M","spotted","Valid",2018-05-10,"16:00:0",2018-05-10 16:00:00,23,-36.2882250621333,784.630510626361,"Meadow marsh"
"103",103,"Akward","M","spotted","Valid",2018-05-13,"17:00:0",2018-05-13 17:00:00,22.5,-46.1259250621079,790.283510626294,"Phragmites"
"104",104,"Akward","M","spotted","Valid",2018-05-13,"21:00:0",2018-05-13 21:00:00,26.5,-34.6957250621053,779.062510626391,"Cattail"
"105",105,"Akward","M","spotted","Valid",2018-05-13,"19:00:0",2018-05-13 19:00:00,26,-44.5334250621381,784.715510626324,"Phragmites"
"106",106,"Akward","M","spotted","Valid",2018-05-13,"16:00:0",2018-05-13 16:00:00,10.5,-34.616525062127,786.834510626271,"Meadow marsh"
"107",107,"Akward","M","spotted","Valid",2018-05-13,"20:00:1",2018-05-13 20:00:01,29,-34.6051250621094,787.945510625839,"Meadow marsh"
"108",108,"Akward","M","spotted","Valid",2018-05-13,"18:00:0",2018-05-13 18:00:00,25,-34.5938250620966,789.055510626175,"Meadow marsh"
"109",109,"Akward","M","spotted","Valid",2018-05-14,"19:00:0",2018-05-14 19:00:00,18,-48.6561250621453,784.757510625757,"Phragmites"
"110",110,"Akward","M","spotted","Valid",2018-05-14,"18:00:1",2018-05-14 18:00:01,12.5,-38.7844250621274,782.435510626063,"Meadow marsh"
"111",111,"Akward","M","spotted","Valid",2018-05-14,"20:00:0",2018-05-14 20:00:00,25.5,-38.761725062097,784.656510625966,"Meadow marsh"
"112",112,"Akward","M","spotted","Valid",2018-05-14,"21:00:0",2018-05-14 21:00:00,28,-36.1976250621374,793.513510625809,"Meadow marsh"
"113",113,"Akward","M","spotted","Valid",2018-05-14,"22:00:0",2018-05-14 22:00:00,23.5,-35.4636250621406,784.622510625981,"Meadow marsh"
"114",114,"Akward","M","spotted","Valid",2018-05-15,"18:00:0",2018-05-15 18:00:00,17,-45.527825062105,768.068510626443,"Cattail"
"115",115,"Akward","M","spotted","Valid",2018-05-15,"22:00:0",2018-05-15 22:00:00,19.5,-53.0731250621029,755.929510626011,"Cattail"
"116",116,"Akward","M","spotted","Valid",2018-05-15,"20:00:0",2018-05-15 20:00:00,28.5,-47.1882250620984,766.974510625936,"Cattail"
"117",117,"Akward","M","spotted","Valid",2018-05-15,"21:00:0",2018-05-15 21:00:00,20.5,-39.7221250621369,771.340510626324,"Meadow marsh"
"118",118,"Akward","M","spotted","Valid",2018-05-16,"17:00:0",2018-05-16 17:00:00,28,-46.3750250621233,765.855510625988,"Cattail"
"119",119,"Akward","M","spotted","Valid",2018-05-16,"16:00:0",2018-05-16 16:00:00,32.5,-40.6259250621079,763.576510625891,"Cattail"
"120",120,"Akward","M","spotted","Valid",2018-05-17,"01:00:1",2018-05-17 01:00:01,18.5,-53.0052250621375,762.59251062572,"Cattail"
"121",121,"Akward","M","spotted","Valid",2018-05-17,"15:00:1",2018-05-17 15:00:01,31,-62.2222250621417,748.249510626309,"Cattail"
"122",122,"Akward","M","spotted","Valid",2018-05-17,"16:00:0",2018-05-17 16:00:00,32.5,-45.5504250621307,765.84751062654,"Cattail"
"123",123,"Akward","M","spotted","Valid",2018-05-17,"17:00:0",2018-05-17 17:00:00,31,-50.4410250621149,771.449510626495,"Cattail"
"124",124,"Akward","M","spotted","Valid",2018-05-17,"14:00:0",2018-05-17 14:00:00,22.5,-50.4976250621257,765.897510626353,"Cattail"
"125",125,"Akward","M","spotted","Valid",2018-05-18,"02:00:1",2018-05-18 02:00:01,18,-45.4146250621416,779.171510626562,"Cattail"
"126",126,"Akward","M","spotted","Valid",2018-05-18,"15:00:0",2018-05-18 15:00:00,27.5,-92.1659250621451,723.014510625973,"Cattail"
"127",127,"Akward","M","spotted","Valid",2018-05-18,"20:00:1",2018-05-18 20:00:01,23,-13.8562250621035,801.059510625899,"Meadow marsh"
"128",128,"Akward","M","spotted","Valid",2018-05-18,"18:00:0",2018-05-18 18:00:00,23.5,-44.4202250621165,795.818510626443,"Meadow marsh"
"129",129,"Akward","M","spotted","Valid",2018-05-18,"14:00:0",2018-05-18 14:00:00,24.5,-39.6316250621458,780.223510625772,"Cattail"
"130",130,"Akward","M","spotted","GPS",2018-05-18,"18:30:0",2018-05-18 18:30:00,NA,-38.761725062097,784.656510625966,"Meadow marsh"
"131",131,"Akward","M","spotted","GPS",2018-05-18,"19:30:0",2018-05-18 19:30:00,NA,-38.761725062097,784.656510625966,"Meadow marsh"
"132",132,"Akward","M","spotted","Valid",2018-05-18,"13:00:0",2018-05-18 13:00:00,17,-38.0844250621158,770.213510625996,"Cattail"
"133",133,"Akward","M","spotted","Valid",2018-05-18,"23:00:0",2018-05-18 23:00:00,15,-34.4467250620946,803.490510625765,"Phragmites"
"134",134,"Akward","M","spotted","Valid",2018-05-18,"21:00:0",2018-05-18 21:00:00,23.5,-18.6109250620939,819.985510625876,"Meadow marsh"
"135",135,"Akward","M","spotted","Valid",2018-05-19,"19:00:0",2018-05-19 19:00:00,30.5,-12.2750250621466,794.380510626361,"Meadow marsh"
"136",136,"Akward","M","spotted","Valid",2018-05-19,"00:00:0",2018-05-19 00:00:00,13,-43.6976250621374,785.816510626115,"Phragmites"
"137",137,"Akward","M","spotted","Valid",2018-05-19,"11:00:0",2018-05-19 11:00:00,11,-30.1769250621437,817.882510625757,"Phragmites"
"138",138,"Akward","M","spotted","Valid",2018-05-19,"13:00:0",2018-05-19 13:00:00,14,-27.895725062117,798.981510626152,"Meadow marsh"
"139",139,"Akward","M","spotted","Valid",2018-05-19,"12:00:0",2018-05-19 12:00:00,11,-27.8618250621366,802.312510626391,"Meadow marsh"
"140",140,"Akward","M","spotted","Valid",2018-05-19,"20:00:0",2018-05-19 20:00:00,20.5,-27.8505250621238,803.422510625795,"Phragmites"
"141",141,"Akward","M","spotted","Valid",2018-05-19,"01:00:0",2018-05-19 01:00:00,11.5,-25.5693250620971,784.521510626189,"Meadow marsh"
"142",142,"Akward","M","spotted","Valid",2018-05-19,"17:00:0",2018-05-19 17:00:00,30,-25.3656250621425,804.508510625921,"Meadow marsh"
"143",143,"Akward","M","spotted","Valid",2018-05-19,"22:00:0",2018-05-19 22:00:00,22.5,-24.5637250621221,802.279510626569,"Meadow marsh"
"144",144,"Akward","M","spotted","Valid",2018-05-19,"18:00:0",2018-05-19 18:00:00,36.5,-24.5184250621242,806.720510626212,"Meadow marsh"
"145",145,"Akward","M","spotted","Valid",2018-05-19,"16:00:0",2018-05-19 16:00:00,23.5,-22.9373250621138,800.041510625742,"Meadow marsh"
"146",146,"Akward","M","spotted","Valid",2018-05-19,"14:00:0",2018-05-19 14:00:00,15.5,-19.6505250621121,798.897510626353,"Meadow marsh"
"147",147,"Akward","M","spotted","Valid",2018-05-19,"15:00:0",2018-05-19 15:00:00,19,-18.8486250620917,796.66851062607,"Meadow marsh"
"148",148,"Akward","M","spotted","Valid",2018-05-19,"21:00:0",2018-05-19 21:00:00,27.5,-12.0487250621081,816.587510625832,"Meadow marsh"
"149",149,"Akward","M","spotted","Valid",2018-05-20,"03:00:0",2018-05-20 03:00:00,15,-18.7467250621412,806.661510625854,"Meadow marsh"
"150",150,"Akward","M","spotted","Valid",2018-05-20,"06:00:0",2018-05-20 06:00:00,16,-12.873225062096,816.595510626212,"Meadow marsh"
"151",151,"Akward","M","spotted","Valid",2018-05-20,"08:00:0",2018-05-20 08:00:00,14.5,-19.5373250620905,810.001510626636,"Meadow marsh"
"152",152,"Akward","M","spotted","Valid",2018-05-20,"00:00:0",2018-05-20 00:00:00,18,-54.4391250621411,783.705510626547,"Open water"
"153",153,"Akward","M","spotted","Valid",2018-05-20,"01:00:0",2018-05-20 01:00:00,15.5,-35.3618250621366,794.615510625765,"Shrub"
"154",154,"Akward","M","spotted","Valid",2018-05-20,"13:00:0",2018-05-20 13:00:00,13,-25.3995250621228,801.177510626614,"Meadow marsh"
"155",155,"Akward","M","spotted","Valid",2018-05-20,"07:00:0",2018-05-20 07:00:00,15.5,-22.926025062101,801.151510626078,"Meadow marsh"
"156",156,"Akward","M","spotted","Valid",2018-05-20,"10:00:0",2018-05-20 10:00:00,13.5,-22.067525062128,804.474510625936,"Meadow marsh"
"157",157,"Akward","M","spotted","Valid",2018-05-20,"04:00:0",2018-05-20 04:00:00,16.5,-21.1750250621117,811.128510626033,"Meadow marsh"
"158",158,"Akward","M","spotted","Valid",2018-05-20,"02:00:0",2018-05-20 02:00:00,15,-20.3845250621089,807.788510626182,"Meadow marsh"
"159",159,"Akward","M","spotted","Valid",2018-05-20,"19:00:0",2018-05-20 19:00:00,25,-17.9562250621384,803.322510626167,"Meadow marsh"
"160",160,"Akward","M","spotted","Valid",2018-05-20,"14:00:0",2018-05-20 14:00:00,13,-15.4147250621463,809.959510626271,"Meadow marsh"
"161",161,"Akward","M","spotted","Valid",2018-05-20,"16:00:0",2018-05-20 16:00:00,19,-13.7996250620927,806.61151062604,"Meadow marsh"
"162",162,"Akward","M","spotted","Valid",2018-05-20,"17:00:0",2018-05-20 17:00:00,28.5,-12.1279250621446,808.815510625951,"Meadow marsh"
"163",163,"Akward","M","spotted","Valid",2018-05-20,"18:00:0",2018-05-20 18:00:00,29,-12.1166250621318,809.925510626286,"Meadow marsh"
"164",164,"Akward","M","spotted","Valid",2018-05-20,"05:00:0",2018-05-20 05:00:00,16.5,-9.76752506213961,797.686510626227,"Meadow marsh"
"165",165,"Akward","M","spotted","Valid",2018-05-20,"15:00:0",2018-05-20 15:00:00,15,-5.59962506213924,802.085510626435,"Meadow marsh"
"166",166,"Akward","M","spotted","Valid",2018-05-20,"09:00:0",2018-05-20 09:00:00,14,-5.48642506211763,813.189510625787,"Meadow marsh"
"167",167,"Akward","M","spotted","Valid",2018-05-21,"14:00:0",2018-05-21 14:00:00,16,-33.7919250621344,786.826510625891,"Meadow marsh"
"168",168,"Akward","M","spotted","Valid",2018-05-21,"15:00:0",2018-05-21 15:00:00,33.5,-19.7071250621229,793.345510626212,"Meadow marsh"
"169",169,"Akward","M","spotted","Valid",2018-05-22,"17:00:0",2018-05-22 17:00:00,30.5,-69.1582250621286,715.006510626525,"Meadow marsh"
"170",170,"Akward","M","spotted","Valid",2018-05-22,"16:00:0",2018-05-22 16:00:00,25.5,-39.575025062135,785.77451062575,"Meadow marsh"
"171",171,"Akward","M","spotted","Valid",2018-05-22,"15:00:0",2018-05-22 15:00:00,18.5,-30.3354250621051,802.337510625832,"Meadow marsh"
"172",172,"Akward","M","spotted","Valid",2018-05-23,"16:00:1",2018-05-23 16:00:01,25.5,-59.2957250621403,792.638510625809,"Cattail"
"173",173,"Akward","M","spotted","Valid",2018-05-23,"15:00:0",2018-05-23 15:00:00,19,-51.0957250621286,788.113510626368,"Phragmites"
"174",174,"Akward","M","spotted","Valid",2018-05-23,"14:00:0",2018-05-23 14:00:00,21,-46.1598250621464,786.952510626055,"Phragmites"
"175",175,"Akward","M","spotted","Valid",2018-05-23,"01:00:1",2018-05-23 01:00:01,15.5,-45.5731250621029,763.626510626636,"Cattail"
"176",176,"Akward","M","spotted","Valid",2018-05-23,"19:00:0",2018-05-23 19:00:00,24,-32.0523250621045,795.692510626279,"Meadow marsh"
"177",177,"Akward","M","spotted","Valid",2018-05-23,"20:00:0",2018-05-23 20:00:00,30,-31.2278250621166,795.684510625899,"Meadow marsh"
"178",178,"Akward","M","spotted","Valid",2018-05-23,"21:00:1",2018-05-23 21:00:01,28.5,-31.2165250621038,796.794510626234,"Meadow marsh"
"179",179,"Akward","M","spotted","Valid",2018-05-23,"18:00:0",2018-05-23 18:00:00,20.5,-30.4033250621287,795.675510626286,"Meadow marsh"
"180",180,"Akward","M","spotted","Valid",2018-05-24,"15:00:0",2018-05-24 15:00:00,31,-44.7372250620974,764.728510626592,"Cattail"
"181",181,"Akward","M","spotted","Valid",2018-05-24,"16:00:0",2018-05-24 16:00:00,30,-42.263625062129,764.703510626219,"Cattail"
"182",182,"Akward","M","spotted","Valid",2018-05-25,"22:00:0",2018-05-25 22:00:00,24,-93.4549250621349,677.498510626145,"Meadow marsh"
"183",183,"Akward","M","spotted","Valid",2018-05-25,"23:00:0",2018-05-25 23:00:00,25,-91.692525062128,688.585510626435,"Cattail"
